longitude,latitude,Plant_Code,Plant_Name,Utility_Name,City,County,StateName,PrimSource,Install_MW,Total_MW
-85.753806,34.172142,20,Weiss Dam,Alabama Power Co,Leesburg,Cherokee,Alabama,hydroelectric,87.6,81
-85.8901,32.5743,21,Yates Dam,Alabama Power Co,Tallassee,Elmore,Alabama,hydroelectric,50.5,44
-86.458056,33.244211,26,E C Gaston,Alabama Power Co,Wilsonville,Shelby,Alabama,natural gas,2034,1868
-94.4178,44.0501,30,Madelia,City of Madelia - (MN),City of Madelia,Watonwan,Minnesota,other,11.8,10.6
-120.953341,39.134259,34,Rollins,Nevada Irrigation District,Colfax,Placer,California,hydroelectric,12.1,12.1
-87.399767,32.100881,38,Millers Ferry,USCE-Mobile District,Camden,Wilcox,Alabama,hydroelectric,101.1,90
-87.1189,34.7042,46,Browns Ferry,Tennessee Valley Authority,Decatur,Limestone,Alabama,nuclear,3494,3774.5
-87.8486,34.7439,47,Colbert,Tennessee Valley Authority,Tuscumbia,Colbert,Alabama,natural gas,476,363.2
-86.393931,34.421272,48,Guntersville,Tennessee Valley Authority,Guntersville,Marshall,Alabama,hydroelectric,115.2,122.7
-87.3819,34.8069,49,Wheeler Dam,Tennessee Valley Authority,Town Creek,Lawrence,Alabama,hydroelectric,404,398.2
-93.569167,32.030556,51,Dolet Hills,Cleco Power LLC,Mansfield,DeSoto,Louisiana,coal,720.7,645.3
-86.479469,31.4033,53,Gantt,PowerSouth Energy Cooperative,Andalusia,Covington,Alabama,hydroelectric,3,2.8
-84.1017,37.8833,54,J K Smith,"East Kentucky Power Coop, Inc",Winchester,Clark,Kentucky,natural gas,1055,753
-86.518307,31.361146,55,Point A,PowerSouth Energy Cooperative,Andalusia,Covington,Alabama,hydroelectric,5.2,5.4
-98.348222,40.854765,59,Platte,City of Grand Island - (NE),Grand Island,Hall,Nebraska,coal,109.8,100
-98.312437,40.580872,60,Whelan Energy Center,City of Hastings - (NE),Hastings,Adams,Nebraska,coal,324.3,309
-134.101,58.3176,62,Annex Creek,Alaska Electric Light&Power Co,Juneau,Juneau,Alaska,hydroelectric,4,3.6
-134.4174,58.3107,63,Gold Creek,Alaska Electric Light&Power Co,Juneau,Juneau,Alaska,other,9.7,9.7
-134.4953,58.3536,64,Lemon Creek,Alaska Electric Light&Power Co,Juneau,Juneau,Alaska,other,61.7,57.5
-134.4631,58.3269,65,Salmon Creek 1,Alaska Electric Light&Power Co,Juneau,Juneau,Alaska,hydroelectric,8.5,5.2
-135.3131,59.4545,66,Skagway,Alaska Power and Telephone Co,Skagway,Skagway Hoonah Angoon,Alaska,other,4.4,4.4
-135.446228,59.235931,69,Haines,Alaska Power and Telephone Co,Haines,Haines,Alaska,other,9.6,9.6
-131.356111,55.615208,70,Swan Lake,Southeast Alaska Power Agency,Ketchikan,Ketchikan Gateway,Alaska,hydroelectric,22.6,22.6
-152.895,57.6861,71,Terror Lake Microgrid,Kodiak Electric Assn Inc,Kodiak,Kodiak Island,Alaska,hydroelectric,33.6,33.6
-118.4168,34.01135,72,Venice Hydro,Metropolitan Water District of S CA,Culver City,Los Angeles,California,hydroelectric,10.1,10.1
-149.8661,61.2221,75,Anchorage 1,Chugach Electric Assn Inc,Anchorage,Anchorage,Alaska,natural gas,77.9,62.4
-149.15009,61.475211,77,Eklutna Hydro Project,Chugach Electric Assn Inc,Palmer,Matanuska Susitna,Alaska,hydroelectric,44.4,44.4
-133.737,58.1415,78,Snettisham,Alaska Electric Light&Power Co,Juneau,Juneau,Alaska,hydroelectric,78.2,78
-147.735063,64.847743,79,Aurora Energy LLC Chena,Aurora Energy LLC,Fairbanks,Fairbanks North Star,Alaska,coal,27.5,25.7
-131.633425,55.344641,84,Ketchikan,Ketchikan Public Utilities,Ketchikan,Ketchikan Gateway,Alaska,hydroelectric,4.2,4.2
-131.69696,55.357397,85,S W Bailey,Ketchikan Public Utilities,Ketchikan,Ketchikan Gateway,Alaska,other,25.9,23
-74.2063,41.949,88,Ashokan,New York Power Authority,Kingston,Ulster,New York,hydroelectric,4.6,4.6
-165.429814,64.505331,90,Snake River,Nome Joint Utility Systems,Nome,Nome,Alaska,other,19.2,19
-132.957091,56.81104,91,Petersburg,Petersburg Borough - (AK),Petersburg,Wrangell Petersburg,Alaska,other,14.5,12.4
-149.43501,60.130922,92,Seward (AK),City of Seward - (AK),Seward,Kenai Peninsula,Alaska,other,15.6,15.6
-135.2297,57.0516,93,Blue Lake Hydro,City & Borough of Sitka - (AK),Sitka,Sitka,Alaska,hydroelectric,15.9,15.9
-132.379439,56.460976,95,Wrangell,City of Wrangell - (AK),Wrangell,Wrangell Petersburg,Alaska,other,8.5,8.5
-151.0356,61.1861,96,Beluga,Chugach Electric Assn Inc,Beluga,Kenai Peninsula,Alaska,natural gas,312.4,300.4
-122.365,47.079722,99,Frederickson,Puget Sound Energy Inc,Tacoma,Pierce,Washington,natural gas,177.8,134
-111.781064,33.466477,100,South Consolidated,Salt River Project,Phoenix,Maricopa,Arizona,hydroelectric,1.4,1.4
-119.2567,37.147926,104,J S Eastwood,Southern California Edison Co,Shaver Lake,Fresno,California,other,199.8,199.8
-100.9725,37.9308,108,Holcomb,Sunflower Electric Power Corp,Holcomb,Finney,Kansas,coal,348.7,359.1
-158.468597,59.042914,109,Dillingham,"Nushagak Electric Coop, Inc",Dillingham,Dillingham,Alaska,other,11,11
-110.3033,34.9394,113,Cholla,Arizona Public Service Co,Joseph City,Navajo,Arizona,coal,425.9,387
-109.5538,31.364122,114,Douglas,Arizona Public Service Co,Douglas,Cochise,Arizona,other,26.1,15
-111.9122,33.4225,116,Ocotillo,Arizona Public Service Co,Tempe,Maricopa,Arizona,natural gas,915.7,623.5
-112.1583,33.4417,117,West Phoenix,Arizona Public Service Co,Phoenix,Maricopa,Arizona,natural gas,1207.4,920
-111.3,32.5517,118,Saguaro,Arizona Public Service Co,Red Rock,Pinal,Arizona,natural gas,184.5,176
-114.7106,32.7214,120,Yucca,Arizona Public Service Co,Yuma,Yuma,Arizona,natural gas,425,328
-110.992148,32.252273,124,Demoss Petrie,Tucson Electric Power Co,Tucson,Pima,Arizona,natural gas,85,75
-110.9047,32.16,126,H Wilson Sundt Generating Station,Tucson Electric Power Co,Tucson,Pima,Arizona,natural gas,528.9,495
-80.113235,33.371506,130,Cross,South Carolina Public Service Authority,Cross,Berkeley,South Carolina,coal,2390.1,2350
-81.632778,29.733056,136,Seminole (FL),Seminole Electric Cooperative Inc,Palatka,Putnam,Florida,coal,1429.2,1260
-112.2153,33.5561,141,Agua Fria,Salt River Project,Glendale,Maricopa,Arizona,natural gas,613.5,626.2
-111.946052,33.439375,143,Crosscut,Salt River Project,Tempe,Maricopa,Arizona,hydroelectric,3,3
-111.344,33.5907,145,Horse Mesa,Salt River Project,Apache Junction,Maricopa,Arizona,other,129.5,149
-111.9353,33.3556,147,Kyrene,Salt River Project,Tempe,Maricopa,Arizona,natural gas,573.7,525
-111.4431,33.5536,148,Mormon Flat,Salt River Project,Apache Junction,Maricopa,Arizona,other,63.5,68.8
-111.161786,33.671104,149,Roosevelt,Salt River Project,Roosevelt,Maricopa,Arizona,hydroelectric,36,36
-111.536,33.5661,150,Stewart Mountain,Salt River Project,Phoenix,Maricopa,Arizona,hydroelectric,13,13
-120.93139,37.62936,151,McClure,Modesto Irrigation District,Modesto,Stanislaus,California,natural gas,142.4,107
-114.570669,35.197044,152,Davis Dam,U S Bureau of Reclamation,Kingman,Mohave,Arizona,hydroelectric,254.8,254.8
-111.483872,36.936614,153,Glen Canyon Dam,U S Bureau of Reclamation,Page,Coconino,Arizona,hydroelectric,1312,1312
-114.738006,36.01551,154,Hoover Dam (NV),U S Bureau of Reclamation,Boulder City,Clark,Nevada,hydroelectric,1039.4,1039.4
-111.312506,40.493631,159,Lake Creek Dam,Heber Light & Power Company,Heber City,Wasatch,Utah,hydroelectric,1.5,1
-109.8931,32.0603,160,Apache Station,Arizona Electric Pwr Coop Inc,Cochise,Cochise,Arizona,natural gas,660.7,548.5
-120.594678,37.611461,161,Turlock Lake,Turlock Irrigation District,Hickman,Stanislaus,California,hydroelectric,3.3,3.3
-120.746247,37.621536,162,Hickman,Turlock Irrigation District,Hickman,Stanislaus,California,hydroelectric,1,1
-95.2894,36.190278,165,GREC,Grand River Dam Authority,Chouteau,Mayes,Oklahoma,natural gas,1194.3,969
-93.0262,34.4425,166,Carpenter,Entergy Arkansas LLC,Hot Springs,Garland,Arkansas,hydroelectric,56,61.7
-92.9049,34.4341,170,Lake Catherine,Entergy Arkansas LLC,Jones Mill,Hot Spring,Arkansas,natural gas,552.5,522
-89.9689,35.705381,172,Osceola (AR),City of Osceola - (AR),Osceola,Mississippi,Arkansas,other,1.6,1.6
-92.8941,34.4272,174,Remmel,Entergy Arkansas LLC,Malvern,Hot Spring,Arkansas,hydroelectric,9,11.4
-121.86215,40.45193,180,Volta 2,Pacific Gas & Electric Co.,Manton,Shasta,California,hydroelectric,1,0.9
-93.847373,36.421507,182,Beaver Dam,USCE-Little Rock District,Eureka Springs,Carroll,Arkansas,hydroelectric,112,128.8
-93.110963,34.211913,187,Degray,USCE -Vickburg District,Arkadelphia,Clark,Arkansas,hydroelectric,70,70
-91.9953,35.5207,188,Greers Ferry Lake,USCE-Little Rock District,Heber Springs,Cleburne,Arkansas,hydroelectric,96,90
-90.1867,36.3858,193,Municipal Light,City of Piggott - (AR),Piggott,Clay,Arkansas,other,7.2,7.2
-93.715168,34.148427,195,Narrows (AR),USCE -Vickburg District,Murfreesboro,Pike,Arkansas,hydroelectric,25.5,29.1
-92.2401,36.2491,196,Norfork,USCE-Little Rock District,Salesville,Baxter,Arkansas,hydroelectric,80.4,80
-93.194425,34.570984,197,Blakely Mountain,USCE -Vickburg District,Royal,Garland,Arkansas,hydroelectric,75,75
-92.5763,36.3635,198,Bull Shoals,USCE-Little Rock District,Mountain Home,Marion,Arkansas,hydroelectric,340,370
-93.1686,35.2503,199,Dardanelle,USCE-Little Rock District,Dardanelle,Pope,Arkansas,hydroelectric,160.8,140
-93.804926,35.462382,201,Thomas Fitzhugh,Arkansas Electric Coop Corp,Ozark,Franklin,Arkansas,natural gas,185,162
-91.363426,35.260102,202,Carl Bailey,Arkansas Electric Coop Corp,Augusta,Woodruff,Arkansas,natural gas,120,122
-92.7917,33.5648,203,McClellan (AR),Arkansas Electric Coop Corp,Camden,Ouachita,Arkansas,natural gas,136,134
-88.8339,40.1719,204,Clinton Power Station,Exelon Nuclear,Clinton,DeWitt,Illinois,nuclear,1138.3,1065
-95.68978,38.23926,210,Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,Burlington,Coffey,Kansas,nuclear,1267.7,1225
-120.80355,39.215979,214,Alta Powerhouse,Pacific Gas & Electric Co.,Alta,Placer,California,hydroelectric,1,1
-120.539444,38.071944,215,Angels,Utica Water & Power Authority,Angels Camp,Calaveras,California,hydroelectric,1.4,0.7
-119.087712,36.909137,217,Balch 1,Pacific Gas & Electric Co.,Balch Camp,Fresno,California,hydroelectric,31,34
-119.087556,36.908907,218,Balch 2,Pacific Gas & Electric Co.,Balch Camp,Fresno,California,hydroelectric,97.2,105
-121.249438,40.007445,219,Belden,Pacific Gas & Electric Co.,Belden,Plumas,California,hydroelectric,117.9,125
-121.327692,39.91062,220,Bucks Creek,Pacific Gas & Electric Co.,Storrie,Plumas,California,hydroelectric,66,65
-121.190663,40.175656,221,Butt Valley,Pacific Gas & Electric Co.,Belden,Plumas,California,hydroelectric,40,41
-121.148241,40.085476,222,Caribou 1,Pacific Gas & Electric Co.,Belden,Plumas,California,hydroelectric,73.8,75
-121.149373,40.085997,223,Caribou 2,Pacific Gas & Electric Co.,Belden,Plumas,California,hydroelectric,117.9,120
-121.657383,39.788877,224,Centerville PH,Pacific Gas & Electric Co.,Chico,Butte,California,hydroelectric,6.4,6.4
-120.813239,38.771764,225,Chili Bar,Pacific Gas & Electric Co.,Placerville,El Dorado,California,hydroelectric,7,7
-122.121904,40.404645,227,Coleman PH,Pacific Gas & Electric Co.,Anderson,Shasta,California,hydroelectric,12.1,13
-122.02093,40.570817,229,Cow Creek,Pacific Gas & Electric Co.,Millville,Shasta,California,hydroelectric,1.4,1.8
-121.409687,39.825907,231,Cresta,Pacific Gas & Electric Co.,Storrie,Butte,California,hydroelectric,73.8,70
-121.631819,39.869265,232,De Sabla,Pacific Gas & Electric Co.,Magalia,Butte,California,hydroelectric,18.4,18.5
-120.8443,39.29807,233,Deer Creek PH,Pacific Gas & Electric Co.,Nevada City,Nevada,California,hydroelectric,5.5,5.7
-120.767437,39.256873,235,Drum 1,Pacific Gas & Electric Co.,Alta,Placer,California,hydroelectric,49.2,54
-120.767046,39.257388,236,Drum 2,Pacific Gas & Electric Co.,Alta,Placer,California,hydroelectric,53.1,49.5
-120.835587,39.216985,237,Dutch Flat,Pacific Gas & Electric Co.,Alta,Placer,California,hydroelectric,22,22
-120.619152,38.793574,238,El Dorado,El Dorado Irrigation District,Pollock Pines,El Dorado,California,hydroelectric,20,20.8
-120.669901,38.330985,239,Electra,Pacific Gas & Electric Co.,Jackson,Amador,California,hydroelectric,102.5,98
-119.02025,36.927424,240,Haas,Pacific Gas & Electric Co.,Balch Camp,Fresno,California,hydroelectric,135,144
-121.041932,38.956985,241,Halsey,Pacific Gas & Electric Co.,Auburn,Placer,California,hydroelectric,13.6,11
-121.089479,40.268712,242,Hamilton Branch,Pacific Gas & Electric Co.,Peninsula Village,Plumas,California,hydroelectric,5.3,4.8
-121.544462,40.929297,243,Hat Creek 1,Pacific Gas & Electric Co.,Burney,Shasta,California,hydroelectric,10,8.5
-121.548657,40.960675,244,Hat Creek 2,Pacific Gas & Electric Co.,Burney,Shasta,California,hydroelectric,10,8.5
-124.2103,40.7415,246,Humboldt Bay,Pacific Gas & Electric Co.,Eureka,Humboldt,California,natural gas,167,163.4
-121.965502,40.400988,248,Inskip,Pacific Gas & Electric Co.,Manton,Tehama,California,hydroelectric,7.6,8
-121.975182,40.992295,249,James B Black,Pacific Gas & Electric Co.,Big Bend,Shasta,California,hydroelectric,168.6,172
-119.552826,37.092486,250,Kerckhoff,Pacific Gas & Electric Co.,Auberry,Fresno,California,hydroelectric,22.6,25.2
-121.873253,40.677827,253,Kilarc,Pacific Gas & Electric Co.,Whitmore,Shasta,California,hydroelectric,1.5,1.6
-119.158777,36.888166,254,Kings River PH,Pacific Gas & Electric Co.,Balch Camp,Fresno,California,hydroelectric,48.6,52
-121.57096,39.698755,255,Lime Saddle,Pacific Gas & Electric Co.,Oroville,Butte,California,hydroelectric,2,2
-120.329905,37.52301,258,Merced Falls,Merced Irrigation District,Snelling,Merced,California,hydroelectric,3.4,3.5
-121.782241,36.804837,260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,Moss Landing,Monterey,California,natural gas,1698,1320
-120.446396,38.147093,261,Murphys,Utica Water & Power Authority,Murphys,Calaveras,California,hydroelectric,3.6,1.7
-121.271741,39.2364,262,Narrows PH,Yuba County Water Agency,Grass Valley,Nevada,California,hydroelectric,10.2,12
-120.326537,38.032103,264,Phoenix,Pacific Gas & Electric Co.,Sonora,Tuolumne,California,hydroelectric,1.6,2
-121.498243,40.99084,265,Pit 1,Pacific Gas & Electric Co.,Burney,Shasta,California,hydroelectric,69.2,61
-121.748139,40.997448,266,Pit 3,Pacific Gas & Electric Co.,Burney,Shasta,California,hydroelectric,80.1,69.9
-121.84944,40.986361,267,Pit 4,Pacific Gas & Electric Co.,Big Bend,Shasta,California,hydroelectric,103.4,95
-121.977594,40.986197,268,Pit 5,Pacific Gas & Electric Co.,Big Bend,Shasta,California,hydroelectric,141.6,160
-121.992906,40.922568,269,Pit 6,Pacific Gas & Electric Co.,Montgomery Creek,Shasta,California,hydroelectric,79.2,80
-121.990798,40.847462,270,Pit 7,Pacific Gas & Electric Co.,Montgomery Creek,Shasta,California,hydroelectric,109.8,113
-121.469814,39.722892,272,Poe,Pacific Gas & Electric Co.,Storrie,Butte,California,hydroelectric,142.8,120
-123.127934,39.361786,274,Potter Valley,Pacific Gas & Electric Co.,Potter Valley,Mendocino,California,hydroelectric,9.4,9.2
-121.345226,39.90521,275,Rock Creek,Pacific Gas & Electric Co.,Storrie,Plumas,California,hydroelectric,126,126
-119.497508,37.203233,276,San Joaquin 2,Pacific Gas & Electric Co.,North Fork,Madera,California,hydroelectric,2.8,3.2
-119.519352,37.253718,277,San Joaquin 3,Pacific Gas & Electric Co.,North Fork,Madera,California,hydroelectric,4,4.2
-120.21811,38.497914,279,Salt Springs,Pacific Gas & Electric Co.,Pioneer,Amador,California,hydroelectric,42,44
-121.879186,40.395396,280,South,Pacific Gas & Electric Co.,Manton,Tehama,California,hydroelectric,6.7,7
-120.644807,39.324613,281,Spaulding 1,Pacific Gas & Electric Co.,Emigrant Gap,Nevada,California,hydroelectric,7,7
-120.645375,39.324592,282,Spaulding 2,Pacific Gas & Electric Co.,Emigrant Gap,Nevada,California,hydroelectric,3.7,4.4
-120.635467,39.337679,283,Spaulding 3,Pacific Gas & Electric Co.,Emigrant Gap,Nevada,California,hydroelectric,6.6,5.8
-120.11168,38.18653,284,Spring Gap,Pacific Gas & Electric Co.,Long Barn,Tuolumne,California,hydroelectric,6,7
-120.370325,38.139048,285,Stanislaus,Pacific Gas & Electric Co.,Vallecito,Tuolumne,California,hydroelectric,81.9,91
-122.745,38.777,286,Geysers Unit 5-20,Geysers Power Co LLC,Middletown,Sonoma,California,geothermal,1163,644
-120.492645,38.449291,287,Tiger Creek,Pacific Gas & Electric Co.,Pioneer,Amador,California,hydroelectric,52.2,58
-118.707104,36.163076,289,Tule River,Pacific Gas & Electric Co.,Springville,Tulare,California,hydroelectric,8.4,6.4
-121.86708,40.459111,290,Volta 1,Pacific Gas & Electric Co.,Manton,Shasta,California,hydroelectric,8.5,9
-120.549572,38.420898,291,West Point PH,Pacific Gas & Electric Co.,Pioneer,Amador,California,hydroelectric,13.6,14.5
-121.098525,38.889862,292,Wise,Pacific Gas & Electric Co.,Auburn,Placer,California,hydroelectric,16.4,17.2
-119.504724,37.15105,293,A G Wishon,Pacific Gas & Electric Co.,North Fork,Madera,California,hydroelectric,12.8,20
-122.335317,41.978914,294,Copco 1,PacifiCorp,Hornbrook,Siskiyou,California,hydroelectric,20,28
-122.358127,41.975716,295,Copco 2,PacifiCorp,Hornbrook,Siskiyou,California,hydroelectric,27,34
-122.360455,41.985605,296,Fall Creek,PacifiCorp,Hornbrook,Siskiyou,California,hydroelectric,2.1,1.9
-122.43678,41.932981,297,Iron Gate,PacifiCorp,Hornbrook,Siskiyou,California,hydroelectric,18,18.8
-96.2525,31.4219,298,Limestone,NRG Texas Power LLC,Jewett,Limestone,Texas,coal,1849.8,1689
-112.8533,38.4889,299,Blundell,PacifiCorp,Milford,Beaver,Utah,geothermal,44.8,31.7
-135.12275,56.986284,313,Green Lake,City & Borough of Sitka - (AK),Sitka,Sitka,Alaska,hydroelectric,18.6,18.6
-115.392026,32.673097,314,Drop 5,Imperial Irrigation District,Calexico,Imperial,California,hydroelectric,4,3.8
-118.1009,33.7688,315,AES Alamitos LLC,AES Alamitos LLC,Long Beach,Los Angeles,California,natural gas,1115,1152
-118.4795,34.0969,316,Sepulveda Canyon,Metropolitan Water District of S CA,Los Angeles,Los Angeles,California,hydroelectric,8.5,8.5
-119.2396,37.2042,317,Big Creek 1,Southern California Edison Co,Big Creek,Fresno,California,hydroelectric,88.4,88.4
-119.3069,37.2,318,Big Creek 2,Southern California Edison Co,Auberry,Fresno,California,hydroelectric,66.6,66.6
-119.386623,37.148517,319,Big Creek 3,Southern California Edison Co,Auberry,Fresno,California,hydroelectric,174.5,173.5
-119.4898,37.139,320,Big Creek 4,Southern California Edison Co,North Fork,Madera,California,hydroelectric,100,100
-119.3289,37.2096,321,Big Creek 8,Southern California Edison Co,Auberry,Fresno,California,hydroelectric,75,70.8
-119.30681,37.200062,322,Big Creek 2A,Southern California Edison Co,Auberry,Fresno,California,hydroelectric,110,100
-118.573339,37.273581,323,Bishop Creek 2,Southern California Edison Co,Bishop,Inyo,California,hydroelectric,7.3,7.3
-118.531957,37.301962,324,Bishop Creek 3,Southern California Edison Co,Bishop,Inyo,California,hydroelectric,8.4,8.4
-118.501714,37.323035,325,Bishop Creek 4,Southern California Edison Co,Bishop,Inyo,California,hydroelectric,8.2,8.2
-118.4797,37.3344,326,Bishop Creek 5,Southern California Edison Co,Bishop,Inyo,California,hydroelectric,4.5,3.8
-118.4628,37.3499,327,Bishop Creek 6,Southern California Edison Co,Bishop,Inyo,California,hydroelectric,1.6,1.6
-117.397119,34.155162,332,Fontana,Southern California Edison Co,Rialto,San Bernardino,California,hydroelectric,3,3
-117.9792,33.6439,335,AES Huntington Beach LLC,AES Huntington Beach LLC,Huntington Beach,Orange,California,natural gas,218,225.8
-118.87988,36.461326,336,Kaweah 2,Southern California Edison Co,Three Rivers,Tulare,California,hydroelectric,1.8,1.8
-118.862023,36.465066,337,Kaweah 1,Southern California Edison Co,Three Rivers,Tulare,California,hydroelectric,2.3,2.3
-118.835645,36.486059,338,Kaweah 3,Southern California Edison Co,Three Rivers,Tulare,California,hydroelectric,4.8,4.5
-118.436233,35.776185,339,Kern River 3,Southern California Edison Co,Kernville,Kern,California,hydroelectric,40.3,40.2
-118.77959,35.460303,340,Kern River 1,Southern California Edison Co,Bakersfield,Kern,California,hydroelectric,26.4,26.4
-118.2248,33.7641,341,Long Beach Generation LLC,NRG El Segundo Operations Inc,Long Beach,Los Angeles,California,natural gas,252,260
-119.172015,38.042729,342,Lundy,Southern California Edison Co,Lee Vining,Mono,California,hydroelectric,3,3
-119.337983,37.220302,344,Mammoth Pool,Southern California Edison Co,North Fork,Madera,California,hydroelectric,190,190
-119.1689,34.1292,350,Ormond Beach,"Ormond Beach Power, LLC",Oxnard,Ventura,California,natural gas,1612,1491
-119.2161,37.944237,353,Poole,Southern California Edison Co,Lee Vining,Mono,California,hydroelectric,11.3,11.3
-119.158936,37.257045,354,Portal,Southern California Edison Co,Lakeshore,Fresno,California,hydroelectric,10.8,10.8
-118.395,33.8504,356,AES Redondo Beach LLC,AES Redondo Beach LLC,Redondo Beach,Los Angeles,California,natural gas,821.4,830
-119.123284,37.766954,357,Rush Creek,Southern California Edison Co,June lake,Mono,California,hydroelectric,13.1,11.4
-117.2418,34.0818,358,Mountainview Generating Station,Southern California Edison Co,Redlands,San Bernardino,California,natural gas,1036.8,1018
-117.058481,34.14522,361,Santa Ana 1,Southern California Edison Co,Highlands,San Bernardino,California,hydroelectric,3.2,3.2
-117.099091,34.107245,363,Santa Ana 3,Southern California Edison Co,Highlands,San Bernardino,California,hydroelectric,3.1,3.1
-118.788868,36.13568,365,Lower Tule River,Southern California Edison Co,Springdale,Tulare,California,hydroelectric,2.6,2.6
-119.3339,46.4711,371,Columbia Generating Station,Energy Northwest,Richland,Benton,Washington,nuclear,1200,1151
-120.8507,38.2569,376,Pardee,East Bay Municipal Util Dist,Valley Springs,Calaveras,California,hydroelectric,23.6,27.7
-118.2782,34.1556,377,Grayson,City of Glendale - (CA),Glendale,Los Angeles,California,natural gas,300.9,256
-93.498266,47.287206,378,Prairie River,"ALLETE, Inc.",Grand Rapids,Itasca,Minnesota,hydroelectric,1,0.7
-119.9675,37.896649,380,Dion R Holm,City & County of San Francisco,Groveland,Tuolumne,California,hydroelectric,156.8,156.8
-120.299254,37.809388,381,Moccasin,City & County of San Francisco,Moccasin,Tuolumne,California,hydroelectric,100,100
-119.953233,37.877667,382,R C Kirkwood,City & County of San Francisco,Groveland,Tuolumne,California,hydroelectric,115.5,115.5
-88.123827,41.494636,384,Joliet 29,Midwest Generations EME LLC,Joliet,Will,Illinois,natural gas,1320,1036
-115.030975,32.705435,385,Drop 2 (CA),Imperial Irrigation District,Holtville,Imperial,California,hydroelectric,10,9.8
-115.126103,32.705428,386,Drop 3 (CA),Imperial Irrigation District,Holtville,Imperial,California,hydroelectric,9.2,7.3
-115.219067,32.705341,387,Drop 4,Imperial Irrigation District,Holtville,Imperial,California,hydroelectric,19.6,19.1
-114.713858,32.736642,388,Pilot Knob,Imperial Irrigation District,Winterhaven,Imperial,California,hydroelectric,33,0
-115.54,32.802222,389,El Centro Hybrid,Imperial Irrigation District,El Centro,Imperial,California,natural gas,388.3,312
-146.3033,61.0828,390,Solomon Gulch,"Copper Valley Elec Assn, Inc",Valdez,Valdez Cordova,Alaska,hydroelectric,12,12
-118.324075,37.142795,391,Big Pine Creek,Los Angeles Department of Water & Power,Big Pine,Inyo,California,hydroelectric,3.2,3
-118.656638,34.587237,392,Castaic,Los Angeles Department of Water & Power,Castaic,Los Angeles,California,other,1682,1674.5
-118.556988,37.437921,393,Control Gorge,Los Angeles Department of Water & Power,Bishop,Inyo,California,hydroelectric,37.5,37.5
-118.04389,36.443421,394,Cottonwood,Los Angeles Department of Water & Power,Lone Pine,Inyo,California,hydroelectric,1.6,2.4
-118.494449,34.318248,396,Foothill,Los Angeles Department of Water & Power,Sylmar,Los Angeles,California,hydroelectric,10.1,8.6
-118.413377,34.103931,397,Franklin (CA),Los Angeles Department of Water & Power,Beverley Hills,Los Angeles,California,hydroelectric,2,2
-117.956667,36.109722,398,Haiwee,Los Angeles Department of Water & Power,Olancha,Inyo,California,hydroelectric,5.6,5
-118.2656,33.7706,399,Harbor,Los Angeles Department of Water & Power,Wilmington,Los Angeles,California,natural gas,548.1,439
-118.09913,33.764741,400,Haynes,Los Angeles Department of Water & Power,Long Beach,Los Angeles,California,natural gas,1739.1,1600.4
-118.569167,37.51,401,Middle Gorge,Los Angeles Department of Water & Power,Bishop,Mono,California,hydroelectric,37.5,37.5
